1434	H/O: diabetes mellitus
C10z0	Diabetes mellitus, juvenile type, with unspecified complication
C10z1	Diabetes mellitus, adult onset, with unspecified complication
C10zy	Other specified diabetes mellitus with unspecified complications
C10zz	Diabetes mellitus NOS with unspecified complication
C11y0	Steroid-induced diabetes
C10..	Diabetes mellitus
Cyu20	[X]Other specified diabetes mellitus
Cyu21	[X]Malnutrition-related diabetes mellitus with other specified complications
Cyu22	[X]Malnutrition-related diabetes mellitus with unspecified complications
Cyu23	[X]Unspecified diabetes mellitus with renal complications
F1711	Autonomic neuropathy due to diabetes
F3450	Diabetic mononeuritis multiplex
F35z0	Diabetic mononeuritis NOS
XE15k	Polyneuropathy in diabetes
X00Ag	Diabetic neuropathy
XE15k	Diabetic polyneuropathy
F3720	Acute painful diabetic neuropathy
F3721	Chronic painful diabetic neuropathy
F3722	Asymptomatic diabetic neuropathy
XE15n	Myasthenic syndrome due to diabetic amyotrophy
Xa0lK	Diabetic amyotrophy
XaPmX	Diabetic amyotrophy
X00Al	Diabetic mononeuropathy
F420.	Diabetic retinopathy
F4200	Background diabetic retinopathy
F4201	Proliferative diabetic retinopathy
F4202	Preproliferative diabetic retinopathy
F4203	Advanced diabetic maculopathy
X00dG	Diabetic maculopathy
XaD2T	Advanced diabetic retinal disease
XaIP5	Non proliferative diabetic retinopathy
XaE5X	High risk proliferative diabetic retinopathy
XaIW8	High risk non proliferative diabetic retinopathy
F420z	Diabetic retinopathy NOS
F4407	Diabetic iritis
F4640	Diabetic cataract
G73y0	Diabetic peripheral angiopathy
K01x1	Nephrotic syndrome in diabetes mellitus
X30Km	Proteinuric diabetic nephropathy
X30Km	Clinical diabetic nephropathy
Xaa8r	Erectile dysfunction due to diabetes mellitus
Kyu03	[X]Glomerular disorders in diabetes mellitus
M0372	Cellulitis in diabetic foot
M2710	Ischaemic ulcer diabetic foot
M2711	Neuropathic diabetic ulcer - foot
M2712	Mixed diabetic ulcer - foot
N0300	Diabetic cheiroarthropathy
N0300	Diabetic cheiropathy
N0301	Diabetic neuropathic arthropathy
R0542	[D]Gangrene of toe in diabetic
R0543	[D]Widespread diabetic foot gangrene
TJ23.	Adverse reaction to insulins and antidiabetic agents
TJ230	Adverse reaction to insulins
TJ23z	Adverse reaction to insulins and antidiabetic agents NOS
U6023	[X]Insulin and oral hypoglycaemic [antidiabetic] drugs causing adverse effects in therapeutic use
ZV653	[V]Dietary counselling in diabetes mellitus
N0301	Diabetic Charcot's arthropathy
